sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.testResult,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.sample,BASIN,LOCATION,RIVMILE,SMPL_RMRK,SAMPLE_DATE,SAMPLE_TIME,sample_date_text
555295-MB4-NA-7272017-WQ,SM2540C,7/27/2017 15:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB4,NA,100,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,NA,TRG,Yes,N,U,NA,U,NA,4,4,10,mg/l,mg/l,NA,4,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/27/2017 15:50,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/27/2017,15:50,7272017
555381-LCS3-NA-7252017-WQ,E353.2,7/25/2017 20:03,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS3,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.262,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.01,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,0.25,0.262,105,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/25/2017 20:03,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/25/2017,20:03,7252017
555381-MB3-NA-7252017-WQ,E353.2,7/25/2017 20:02,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB3,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.002,0.002,0.01,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/25/2017 20:02,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/25/2017,20:02,7252017
555585-LCS1-NA-7282017-WQ,E300.0,7/28/2017 15:04,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),1.91,NA,SC,Yes,Y,,NA,,NA,0.02,NA,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,,NA,2,1.91,96,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/28/2017 15:04,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/28/2017,15:04,7282017
555585-MB1-NA-7282017-WQ,E300.0,7/28/2017 14:31,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.02,0.02,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/28/2017 14:31,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/28/2017,14:31,7282017
555594-LCS2-NA-7282017-WQ,E300.0,7/28/2017 18:56,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),1.89,NA,SC,Yes,Y,,NA,,NA,0.02,NA,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,,NA,2,1.89,95,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/28/2017 18:56,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/28/2017,18:56,7282017
555594-MB2-NA-7282017-WQ,E300.0,7/28/2017 18:45,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.02,0.02,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/28/2017 18:45,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/28/2017,18:45,7282017
555596-LCS3-NA-7282017-WQ,E300.0,7/28/2017 23:13,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS3,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),1.89,NA,SC,Yes,Y,,NA,,NA,0.02,NA,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,,NA,2,1.89,95,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/28/2017 23:13,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/28/2017,23:13,7282017
555596-MB3-NA-7282017-WQ,E300.0,7/28/2017 23:03,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB3,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.02,0.02,0.2,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/28/2017 23:03,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/28/2017,23:03,7282017
555639-LCS1-NA-7292017-WQ,SM 2320 B,7/29/2017 14:27,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS1,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",21.2,NA,SC,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,20,21.2,106,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/29/2017 14:27,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/29/2017,14:27,7292017
