project_name,sys_sample_code,station,date_time,chemical_name,cas_rn,fraction,result_value,result_unit,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,validator_qualifiers,interpreted_qualifiers
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,cadmium,7440-43-9,t,,ug/l,0.182,ug/l,1,u,u,analyte was analyzed for but not detected
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,cadmium,7440-43-9,t,,ug/l,0.182,ug/l,1,u,u,analyte was analyzed for but not detected
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,chloride (as cl),16887-00-6,t,265,mg/l,0.5,mg/l,8,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,chloride (as cl),16887-00-6,t,157,mg/l,0.4,mg/l,6,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,chlorophyll a,479-61-8,t,0.832,ug/l,,ug/l,0.039,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,chlorophyll a,479-61-8,t,2.81,ug/l,,ug/l,0.15,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,conductivity at 25 degrees celsius,cond,t,1190,umhos/cm,,umhos/cm,,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,conductivity at 25 degrees celsius,cond,t,838,umhos/cm,,umhos/cm,,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,copper,7440-50-8,t,2.9,ug/l,0.652,ug/l,1,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,copper,7440-50-8,t,3.4,ug/l,0.652,ug/l,1,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,hardness (as caco3),hard,t,267,mg/l,0.7,mg/l,20,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,hardness (as caco3),hard,t,173,mg/l,0.5,mg/l,13,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,iron,7439-89-6,t,116,ug/l,55.4,ug/l,100,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,iron,7439-89-6,t,333,ug/l,55.4,ug/l,100,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,lead,7439-92-1,t,,ug/l,0.405,ug/l,1,u,u,analyte was analyzed for but not detected
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,lead,7439-92-1,t,1.2,ug/l,0.405,ug/l,1,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,magnesium,7439-95-4,t,12200,ug/l,110,ug/l,1000,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,magnesium,7439-95-4,t,8270,ug/l,110,ug/l,1000,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,nickel,7440-02-0,t,2.6,ug/l,0.45,ug/l,1,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,nickel,7440-02-0,t,2,ug/l,0.45,ug/l,1,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,nitrate+nitrite as nitrogen,no3no2n,t,0.159,mg/l,7e-04,mg/l,0.002,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,nitrate+nitrite as nitrogen,no3no2n,t,0.251,mg/l,7e-04,mg/l,0.002,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,"nitrogen, ammonia (as n)",7664-41-7,t,0.009,mg/l,8e-04,mg/l,0.005,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,"nitrogen, ammonia (as n)",7664-41-7,t,0.0228,mg/l,8e-04,mg/l,0.005,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-09-19 11:50:00,"nitrogen, nitrate (as n)",14797-55-8,t,0.159,mg/l,,mg/l,0.01,,a,
wallkill special study 2017,13-monh-0.4,13-monh-0.4,2017-10-11 12:34:00,"nitrogen, nitrate (as n)",14797-55-8,t,0.251,mg/l,,mg/l,0.01,,a,
