event_id,location,rivmile,station,order,method,basin,date,year,richness,rich_score,ept_rich,ept_score,hbi,hbi_score,pma,pma_score,nbi_p,nbi_p_score,shannon,shannon_score,bap,mean_bap,median_bap
19.0_walk_13_8/27/2018_3,walk,19,walk-19.0,,kick,13,2018-08-27,2018,15,3.97,8,6.36,5.14,6.7,73,8.37,6.48,3.8,,,5.84,5.6325,5.6
19.0_walk_13_8/27/2018_4,walk,19,walk-19.0,,kick,13,2018-08-27,2018,15,3.97,6,5.45,5.09,6.76,67,7.79,6.61,3.47,,,5.49,5.6325,5.6
2.0_dwar_13_8/27/2018_1,dwar,2,dwar-2.0,,kick,13,2018-08-27,2018,20,5.59,11,8,4.87,7.04,71,8.17,6.68,3.3,,,6.42,6.3475,6.515
2.0_dwar_13_8/27/2018_2,dwar,2,dwar-2.0,,kick,13,2018-08-27,2018,25,7.06,9,6.82,4.39,7.61,90,10,5.64,5.9,,,7.48,6.3475,6.515
2.0_dwar_13_8/27/2018_3,dwar,2,dwar-2.0,,kick,13,2018-08-27,2018,19,5.29,9,6.82,5.59,6.14,48,4.76,7.44,1.4,,,4.88,6.3475,6.515
2.0_dwar_13_8/27/2018_4,dwar,2,dwar-2.0,,kick,13,2018-08-27,2018,24,6.76,12,8.5,5.33,6.46,70,8.08,6.7,3.25,,,6.61,6.3475,6.515
22.8_walk_13_8/27/2018_1,walk,22.8,walk-22.8,,kick,13,2018-08-27,2018,15,3.97,5,4.72,5.01,6.86,54,5.81,6.89,2.78,,,4.83,5.2075,5.32
22.8_walk_13_8/27/2018_2,walk,22.8,walk-22.8,,kick,13,2018-08-27,2018,20,5.59,9,6.82,5.14,6.7,46,4.44,6.76,3.1,,,5.33,5.2075,5.32
22.8_walk_13_8/27/2018_3,walk,22.8,walk-22.8,,kick,13,2018-08-27,2018,18,4.85,9,6.82,5.01,6.86,49,4.92,6.66,3.35,,,5.36,5.2075,5.32
22.8_walk_13_8/27/2018_4,walk,22.8,walk-22.8,,kick,13,2018-08-27,2018,16,4.26,7,5.91,4.95,6.94,59,6.61,6.86,2.85,,,5.31,5.2075,5.32
26.9_walk_13_8/27/2018_1,walk,26.9,walk-26.9,,kick,13,2018-08-27,2018,13,3.38,3,3.61,5.63,6.09,41,3.63,6.84,2.9,,,3.92,5.3625,5.63
26.9_walk_13_8/27/2018_2,walk,26.9,walk-26.9,,kick,13,2018-08-27,2018,16,4.26,6,5.45,5.69,6.01,64,7.42,6.76,3.1,,,5.25,5.3625,5.63
26.9_walk_13_8/27/2018_3,walk,26.9,walk-26.9,,kick,13,2018-08-27,2018,23,6.47,8,6.36,5.57,6.16,74,8.46,6.97,2.58,,,6.01,5.3625,5.63
26.9_walk_13_8/27/2018_4,walk,26.9,walk-26.9,,kick,13,2018-08-27,2018,20,5.59,8,6.36,5.08,6.78,76,8.65,6.41,3.97,,,6.27,5.3625,5.63
29.9_walk_13_8/27/2018_1,walk,29.9,walk-29.9,,kick,13,2018-08-27,2018,16,4.26,3,3.61,6.26,5.3,46,4.44,6.84,2.9,,,4.1,4.8425,4.97
29.9_walk_13_8/27/2018_2,walk,29.9,walk-29.9,,kick,13,2018-08-27,2018,16,4.26,4,4.17,5.36,6.42,55,5.97,5.85,5.38,,,5.24,4.8425,4.97
29.9_walk_13_8/27/2018_3,walk,29.9,walk-29.9,,kick,13,2018-08-27,2018,15,3.97,6,5.45,5.29,6.51,62,7.1,6.56,3.6,,,5.33,4.8425,4.97
29.9_walk_13_8/27/2018_4,walk,29.9,walk-29.9,,kick,13,2018-08-27,2018,15,3.97,5,4.72,5.29,6.51,57,6.29,7.2,2,,,4.7,4.8425,4.97
37.7_gunk_13_8/27/2018_1,gunk,37.7,gunk-37.7,,kick,13,2018-08-27,2018,13,3.38,1,1.25,7.96,3.17,31,1.9,7.93,0.18,,,1.98,2.445,2.385
